Batch,Expected_KB,Captured_Bytes,Lost_Bytes,Loss_Pct,Packets_Captured,Start_Time,Duration_s,Throughput_kbps
1,10.0,10271,0,0.00,12,0.47,10.67,7.70
2,15.0,15391,0,0.00,17,5.79,32.33,3.81
3,20.0,20511,0,0.00,22,11.53,19.22,8.54
4,25.0,25631,0,0.00,27,0.00,21.72,9.44
5,30.0,30751,0,0.00,32,24.22,21.72,11.33
6,35.0,35871,0,0.00,37,23.72,12.33,23.27
7,40.0,40991,0,0.00,42,38.55,15.55,21.09
8,45.0,46092,0,0.00,46,46.34,5.69,64.82
9,50.0,51231,0,0.00,52,17.17,43.46,9.43
